week,start_of_week
1,2022-09-08
2,2022-09-15
3,2022-09-22
4,2022-09-22
5,2022-10-06
6,2022-10-13
7,2022-10-20
8,2022-10-27
9,2022-11-03
10,2022-11-10
11,2022-11-17
12,2022-11-24
13,2022-12-01
14,2022-12-08
15,2022-12-15
16,2022-12-22
17,2022-12-29
18,2023-01-08
